,Bundesland,Landkreis,date,infected,log(infected+1)
0,Nordrhein-Westfalen,Aachen,10-03,2.0,1.0986122886681098
1,Nordrhein-Westfalen,Aachen Städte,10-03,3.0,1.3862943611198906
2,Sachsen-Anhalt,Anhalt-Zerbst,10-03,0.0,0.0
3,Sachsen-Anhalt,Bitterfeld,10-03,0.0,0.0
4,Sachsen-Anhalt,Köthen,10-03,0.0,0.0
5,Sachsen,Bautzen,10-03,0.0,0.0
6,Sachsen,Kamenz,10-03,0.0,0.0
7,Sachsen-Anhalt,Bördekreis,10-03,0.0,0.0
8,Sachsen-Anhalt,Ohrekreis,10-03,0.0,0.0
9,Niedersachsen,Cuxhaven,10-03,2.0,1.0986122886681098
10,Niedersachsen,Oldenburg,10-03,1.0,0.6931471805599453
11,Sachsen,Annaberg,10-03,0.0,0.0
12,Sachsen,Aue-Schwarzenberg,10-03,0.0,0.0
13,Sachsen,Mittlerer Erzgebirgskreis,10-03,0.0,0.0
14,Sachsen,Stollberg,10-03,0.0,0.0
15,Sachsen,Görlitz Städte,10-03,0.0,0.0
16,Sachsen,Löbau-Zittau,10-03,0.0,0.0
17,Sachsen,Niederschlesischer Oberlausitzkreis,10-03,0.0,0.0
18,Niedersachsen,Göttingen,10-03,0.0,0.0
19,Niedersachsen,Osterode,10-03,0.0,0.0
20,Sachsen-Anhalt,Halberstadt,10-03,0.0,0.0
21,Sachsen-Anhalt,Quedlinburg,10-03,0.0,0.0
22,Sachsen-Anhalt,Wernigerode,10-03,0.0,0.0
23,Sachsen,Leipziger Land,10-03,1.0,0.6931471805599453
24,Sachsen,Muldentalkreis,10-03,0.0,0.0
25,Mecklenburg-Vorpommern,Ludwigslust,10-03,0.0,0.0
26,Mecklenburg-Vorpommern,Parchim,10-03,0.0,0.0
27,Sachsen-Anhalt,Mansfelder Land,10-03,0.0,0.0
28,Sachsen-Anhalt,Sangerhausen,10-03,0.0,0.0
29,Mecklenburg-Vorpommern,Demmin,10-03,1.0,0.6931471805599453
30,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,10-03,1.0,0.6931471805599453
31,Mecklenburg-Vorpommern,Müritz,10-03,1.0,0.6931471805599453
32,Mecklenburg-Vorpommern,Neubrandenburg Städte,10-03,0.0,0.0
33,Sachsen,Meißen,10-03,0.0,0.0
34,Sachsen,Riesa-Großenhain,10-03,0.0,0.0
35,Sachsen,Delitzsch,10-03,0.0,0.0
